"FIPS","County.Name","State","X2018.Total.Population","Area.in.SQ.KM","Premature.death.rate..years.per.100.000.population.","Poor.or.fair.health....","Poor.physical.health.days..per.past.30.days.","Poor.mental.health.days..per.past.30.days.","Adult.smoking....","Adult.obesity....","Food.environment.index","Physical.inactivity....","Access.to.exercise.opportunities....","Excessive.drinking.prevalence","Alcohol.impaired.driving.deaths....","Uninsured....","Preventable.hospital.stays.rate..per.100.000.Medicare.enrollees.","Mammography.screening....","Flu.vaccinations....","Some.college....","Unemployment.rate","Children.in.poverty....","Income.inequality.ratio","Children.in.single.parent.households....","Social.associations.rate..per.10.000.population.","Air.pollution...particulate.matter..density.","Percentage.of.households.with.severe.housing.problems","Percentage.of.households.with.high.housing.costs","Percentage.of.households.with.overcrowding","Percentage.of.households.with.lack.of.kitchen.or.plumbing.facilities","Driving.alone.to.work....","Long.commute...driving.alone....","Premature.age.adjusted.mortality.rate","Frequent.physical.distress....","Frequent.mental.distress....","Diabetes.prevalence....of.adults.age.20.and.above.","Food.insecurity....","Limited.access.to.healthy.foods....","Insufficient.sleep....","Uninsured.adults....","Uninsured.children....","Other.primary.care.providers","Ratio.of.population.to.primary.care.providers.other.than.physicians.","Median.household.income","Homeownership....","Severe.housing.cost.burden....","Population","X..below.18.years.of.age","X..65.and.older","X..Non.Hispanic.African.American","Non.Hispanic.African.American.population","X..American.Indian.and.Alaskan.Native","American.Indian.and.Alaskan.Native.population","X..Asian","Asian.population","X..Native.Hawaiian.Other.Pacific.Islander","Native.Hawaiian.Other.Pacific.Islander.population","X..Hispanic","Hispanic.population","X..Non.Hispanic.white","Non.Hispanic.white.population","X..not.proficient.in.English","Population.not.proficient.in.English","X..Females","X..Rural","Population.living.in.rural.areas","covdeaths","covcases","dthpcas","NMDS1","NMDS2","hlthidx"
1001,"Autauga","AL",56903,604.13,8824.057123186,18.411124355,4.200577983,4.306739284,19.124658497,0.375,7.2,31.1,68.677502703,16.878015122,28.813559322,8.500966502,6599,44,41,60.854664988,3.863522328,19.3,4.636663878,24.700096863,12.631730908,11.7,14.954645747,13.205222961,2.45158127,0.63741113,85.965056526,38.3,438.7,12.824434466,12.638357067,14.2,0.134,11.991125,35.905406064,0.109611038,2.476190476,0.000306284,3264.941176471,58343,73.287736297,12.645205749,55504,23.937013549,15.119631018,19.254468146,10687,0.475641395,264,1.279187086,710,0.104496973,58,2.857451715,1586,74.47391179,41336,0.828548306,430,51.342245604,42.002162321,22921,13,644,2.01863354037267,-0.0621529908379667,0.02454262471232,0.512641092066344
1003,"Baldwin","AL",214651,1640.33,7224.632160283,18.060457821,4.098747769,4.24964878,16.795485149,0.31,8,23.8,71.971031191,16.71496869,31.875,10.699288042,3833,45,45,66.133926345,3.988336409,14.7,4.518559604,25.18409096,10.692212904,10.3,13.831725255,12.569278139,1.072802105,0.607246475,84.719423478,40.5,348.4,12.62200157,12.822558193,11.3,0.123,5.424426597,33.305868141,0.135703108,3.238026708,0.000522038,1915.567567568,56607,72.859338263,12.795922013,212628,21.848486559,19.947043663,8.953195252,19037,0.77600316,1650,1.156479862,2459,0.068664522,146,4.55020035,9675,83.047387926,176582,0.454512285,872,51.452771977,42.279099114,77060,10,997,1.00300902708124,-0.0578260318532225,-0.0144520309153495,0.505951051517297
1005,"Barbour","AL",26585,904.49,9586.165036951,25.773415631,5.067438304,4.634994147,21.540877567,0.443,5.6,28.2,53.625669228,12.698715423,29.62962963,12.513196644,4736,46,37,36.774008051,5.900922778,50.3,5.755062606,57.21574344,8.472944348,11.5,15.455531453,13.67426348,2.006507592,0.813449024,83.404353334,33.8,469.8,16.216159614,14.632310588,18,0.232,10.739666573,38.563167125,0.165422397,2.90142368,0.000237436,4211.666666667,32490,62.506800131,13.586765224,25270,20.763751484,18.824693312,47.942223981,12115,0.65294816,165,0.462999604,117,0.185991294,47,4.206569054,1063,45.95567867,11613,1.199273168,297,47.229916898,67.789634702,18613,2,360,0.555555555555556,0.168368034536964,-0.00864943527897633,0.156225648193773
1007,"Bibb","AL",23003,626.18,11783.543674919,19.996911856,4.363377278,4.315710019,19.916404243,0.378,7.6,34.9,16.251363736,15.925150788,27.272727273,9.680075276,5998,44,39,48.406310367,4.385139901,27.3,4.254594439,29.565403554,10.15766462,11.2,10.960854093,10.808080808,0.199288256,0.284697509,86.365902293,48.6,563.7,13.162968279,12.854036063,14.9,0.158,2.601627008,38.1488654,0.12297319,2.619446773,0.000926416,1079.428571429,45795,75.361480625,8.73388931,22668,20.606140815,16.022586907,21.45756132,4864,0.427916005,97,0.22057526,50,0.114699135,26,2.638080113,598,74.298570672,16842,0.394347683,84,46.453149815,68.352607462,15663,1,199,0.50251256281407,0.0349061372746419,0.00906353745960306,0.362575074565876
1009,"Blount","AL",57971,650.63,10908.101821614,21.095323159,4.512752648,4.701599259,19.652158178,0.344,8.5,28.5,22.949303932,15.378721894,21.875,12.114004163,4162,36,38,54.413997542,4.021392994,18.5,4.126883464,29.569732938,9.011507001,11.7,10.401153015,7.945879459,1.724717752,0.912803267,86.792275082,59.7,501.8,13.72005681,13.827942697,14.3,0.11,2.880149823,35.945010419,0.155646042,3.430136197,0.000189613,5273.909090909,48253,78.52102465,8.194495221,58013,23.349938807,17.842552531,1.460017582,847,0.632616827,367,0.301656525,175,0.117215107,68,9.565097478,5549,86.944305587,50439,1.870004246,1013,50.688638753,89.951502041,51562,1,255,0.392156862745098,0.0093584073055491,-0.0175594935264445,0.402075183079019
1011,"Bullock","AL",10669,625.05,12066.910263044,29.407713883,5.22661939,4.791918477,23.478291175,0.394,4.2,29.2,26.69048928,12.896317308,60.714285714,13.206483439,6767,44,26,33.620689655,4.925187032,48.3,6.599523479,76.157407407,9.650646593,11.2,20.759837178,16.591549296,2.388059701,2.008141113,73.076923077,47.3,568.2,16.632479346,14.840054706,20,0.26,19.743350741,45.020635869,0.176718093,2.789023842,0.000776021,1288.625,29113,70.027247956,19.39481268,10309,20.710059172,15.82112717,69.162867397,7130,0.843922786,87,0.194005238,20,0.776020953,80,8.245222621,850,21.301775148,2196,1.104692409,109,45.533029392,51.374381528,5607,11,373,2.94906166219839,0.211521738945284,0.0450888342356361,0.0895044166426761
1013,"Butler","AL",20446,777.88,14018.606261993,26.502613197,5.117432617,5.134573082,22.197655522,0.402,6.5,34.7,48.57974889,13.042811266,31.25,10.667084247,7962,42,35,38.444170772,5.488486474,33,5.122785583,52.564384768,11.501150115,10.6,13.780260708,11.406844106,1.675977654,1.675977654,83.562901745,31.8,577.1,16.197928227,15.474205061,17.9,0.217,2.926121931,41.911083901,0.139828281,2.495840266,0.000655738,1525,36842,70.070921986,11.263060848,19825,22.733921816,19.556116015,44.615384615,8845,0.378310214,75,1.029003783,204,0.0504414,10,1.437578815,285,51.596469105,10229,0.712701932,135,53.432534678,71.23215735,14921,28,634,4.41640378548896,0.1267657857634,0.0399816611522911,0.220548127840089
1015,"Calhoun","AL",116724,612.37,12217.759984113,19.584701424,4.290448066,4.476572166,20.462231748,0.371,6.9,30.2,44.713760416,15.431677015,17.857142857,11.198205872,6450,33,38,57.522215691,4.933965162,24.2,4.983813569,39.297771776,14.309272234,11.8,14.538810763,12.74784362,1.472705127,1.00764035,85.022359524,30.6,572.2,13.020952582,13.8065685,16.2,0.167,9.178566583,41.314343982,0.144313164,2.30452355,0.000505544,1978.068965517,45937,69.391782523,11.579094989,114728,21.78979848,17.312251586,20.790042535,23852,0.52907747,607,0.991039676,1137,0.112439858,129,3.749738512,4302,72.311031309,82961,0.880968331,960,51.930653371,33.696825557,39955,5,395,1.26582278481013,0.0344784858292538,0.0144907718237464,0.363236279241167
1017,"Chambers","AL",34356,603.08,11273.170980406,25.219835535,5.037044668,4.93264621,22.040369624,0.403,6.3,32.4,61.864679234,13.528450886,34.210526316,10.656982992,5511,38,43,47.139938713,4.078808645,29.6,4.739234303,48.405594406,17.728924741,11.4,16.068190062,12.631578947,3.438520131,1.124410591,87.107646935,30.9,536.3,15.428207726,14.560002356,17,0.195,10.328558281,37.266574787,0.13522138,2.485320224,0.000148311,6742.6,36883,66.474368336,12.828354113,33713,21.137246759,19.078693679,39.489217809,13313,0.296621481,100,1.248776436,421,0.0444932,15,2.438228577,822,55.497879156,18710,0.153894472,49,52.125292914,49.148034488,16816,27,656,4.11585365853659,0.119622232393978,0.00652290588461113,0.23159298910968
1019,"Cherokee","AL",25678,600.07,11294.410540237,19.291593453,4.277917079,4.681252945,19.14485261,0.363,8.5,31.8,33.429527877,15.232730666,17.857142857,11.895424837,6577,33,43,50.063601672,4.054054054,25,4.786069357,26.422447389,10.106899903,11.4,15.469858156,12.998655312,2.171985816,0.79787234,84.975850375,43.4,536.9,13.00955694,13.64344403,13.5,0.125,0.2211124,35.35507081,0.149392087,2.981694659,0.000696136,1436.5,44842,78.138026864,10.392541708,25857,19.712263604,22.61669954,4.215492903,1090,0.630390223,163,0.297791701,77,0.0309394,8,1.64365549,425,91.685036934,23707,0.097225035,24,50.319062536,85.736273039,22282,7,106,6.60377358490566,0.0444350516487,0.0157155737612318,0.347842135387205
1021,"Chilton","AL",44807,700.82,10831.917358244,21.465307173,4.736277114,4.625572406,19.673275015,0.353,8.1,31.2,47.242398552,15.064312648,18.75,14.211262583,3791,42,40,38.798914471,4.048540642,22.6,4.969531974,35.209096165,16.385607974,11.2,13.058207576,10.282872241,3.048968278,0.862334463,83.176118716,49.2,541.5,14.445379539,14.260704074,14.7,0.136,1.460530961,35.174569262,0.183393253,3.884213447,0.000136156,7344.5,46405,75.292223282,12.474962444,44067,23.87500851,16.359180339,10.080105294,4442,0.546894502,241,0.499239794,220,0.172464656,76,7.785871514,3431,80.184718724,35335,2.253252936,923,50.827149568,86.74472424,37858,3,270,1.11111111111111,0.0249769262952094,-0.0238550478578777,0.377926924284499
1023,"Choctaw","AL",13185,920.89,12047.18707708,24.111284914,4.738148772,4.756276958,19.062059567,0.413,6.4,32.6,27.563316257,13.025240355,58.333333333,11.283273739,4778,45,36,55.251798561,6.388376384,34.8,5.771077784,42.655262179,20.780420226,10.1,13.3632287,11.092745638,1.399103139,1.255605381,81.796690307,45.9,536.1,14.657440897,14.208099928,16.2,0.205,7.290419052,38.291174279,0.141140339,3.209336251,0.000463499,2157.5,36711,80.157422662,9.214412286,12945,20.092699884,22.742371572,41.629972963,5389,0.177674778,23,0.146774817,19,0,0,0.973348783,126,56.461954423,7309,0,0,52.715334106,100,13859,12,198,6.06060606060606,0.121193515614841,-0.00722656715164095,0.229163581181694
1025,"Clarke","AL",25006,1252.37,9688.373843459,27.70052858,5.034122472,4.803871485,20.933322707,0.396,5.4,32.3,23.864824062,13.353695283,31.25,11.380654426,5857,40,29,38.667866787,8.484455959,31.9,8.165117393,34.635416667,18.448671696,10.4,12.681912682,12.236917769,0.977130977,0.727650728,83.664317745,34.3,456.8,15.832839553,14.62674381,18.5,0.241,11.154712303,40.844779711,0.145920942,2.731356694,0.0005398,1852.538461538,36719,65.986252864,13.330801367,24083,21.878503509,19.279159573,44.155628452,10634,0.494124486,119,0.502429099,121,0.0166092,4,1.324585807,319,52.74675082,12703,0.197772905,46,52.78412158,75.98033523,19628,6,284,2.11267605633803,0.122047251205839,0.0121339066141016,0.22784359508012
1027,"Clay","AL",13929,605.92,9666.041236269,20.587634774,4.472032396,4.586048237,19.13940444,0.377,7.9,30.6,63.975021533,14.819133688,30,13.443463401,5644,40,41,40.827218145,4.369865408,25.5,4.905323194,37.557359689,11.858879336,10.6,14.298892989,10.55191768,1.273062731,3.136531365,87.523139578,39.4,509.7,13.792017087,13.857781019,14.7,0.145,2.32687988,38.540524868,0.168694761,3.780068729,0.000448867,2227.833333333,39642,76.470588235,8.677269982,13367,20.573053041,20.243884192,13.832572754,1849,0.576045485,77,0.246876636,33,0,0,3.119622952,417,80.504226827,10761,0.447761194,57,51.051095983,100,13932,2,69,2.89855072463768,0.0911272899659225,0.00685668281190404,0.275649870850078
